directory,artifact,directory_readme,local_explanation,same_name_explanation,covered,importance
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/artifact_explanation_index.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/artifact_explanation_index.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/artifact_to_evidence_map.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/artifact_to_evidence_map.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/audited_artifact_inventory.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/audited_artifact_inventory.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/chart_quality_audit.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/chart_quality_audit.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/code_inventory.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/code_inventory.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/deep_audit_issue_list.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/deep_audit_issue_list.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_core_literature_selected.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_core_literature_selected.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_literature_candidate_pool.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_literature_candidate_pool.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_model_component_literature_map.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/dqn_model_component_literature_map.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_approval_queue.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_approval_queue.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_safe_adaptation_plan.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_safe_adaptation_plan.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_skill_candidates.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/explanation_reporting_skill_candidates.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/new_or_upgraded_explanation_skills.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/new_or_upgraded_explanation_skills.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/output_explanation_workflow_dry_run_results.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/output_explanation_workflow_dry_run_results.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,,True,support
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/zotero_writeback_log.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/zotero_writeback_log.csv.explanation.md,True,core
02_表格输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/zotero_writeback_or_import_plan.csv,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/README_表格解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/table_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/02_表格输出/zotero_writeback_or_import_plan.csv.explanation.md,True,core
03_图表输出,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/03_图表输出/dqn_revised_action_distribution.png,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/03_图表输出/README_图表解释.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/03_图表输出/figure_explanations_local.md,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强/03_图表输出/dqn_revised_action_distribution.png.explanation.md,True,core
